Unit Price,Quantity,Tax,Total,COGS,Gross Income,Rating,Gender
30.14,10,15.07,316.47,301.4,15.07,9.2,Female
32.46,8,12.984,272.664,259.68,12.984,4.9,Male
83.24,9,37.458,786.618,749.16,37.458,7.4,Male
92.29,5,23.0725,484.522,461.45,23.0725,9,Male
63.69,1,3.1845,66.8745,63.69,3.1845,6,Male
45.79,7,16.0265,336.556,320.53,16.0265,7,Male
98.98,10,49.49,1039.29,989.8,49.49,8.7,Male
51.28,6,15.384,323.064,307.68,15.384,6.5,Male
69.52,7,24.332,510.972,486.64,24.332,8.5,Male
70.01,5,17.5025,367.552,350.05,17.5025,5.5,Male
33.84,9,15.228,319.788,304.56,15.228,8.8,Male
22.17,8,8.868,186.228,177.36,8.868,9.6,Male
73.88,6,22.164,465.444,443.28,22.164,4.4,Male
15.5,10,7.75,162.75,155,7.75,8,Male
12.34,7,4.319,90.699,86.38,4.319,6.7,Female
74.07,1,3.7035,77.7735,74.07,3.7035,9.9,Male
32.71,5,8.1775,171.727,163.55,8.1775,9.9,Male
25.29,1,1.2645,26.5545,25.29,1.2645,6.1,Female
23.03,9,10.3635,217.633,207.27,10.3635,7.9,Female
26.23,9,11.8035,247.874,236.07,11.8035,5.9,Male
18.28,1,0.914,19.194,18.28,0.914,8.3,Male
94.64,3,14.196,298.116,283.92,14.196,5.5,Female
43.25,2,4.325,90.825,86.5,4.325,6.2,Male
63.42,8,25.368,532.728,507.36,25.368,7.4,Female
51.94,10,25.97,545.37,519.4,25.97,6.5,Male
93.14,2,9.314,195.594,186.28,9.314,4.1,Female
89.69,1,4.4845,94.1745,89.69,4.4845,4.9,Male
24.94,9,11.223,235.683,224.46,11.223,5.6,Male
59.77,2,5.977,125.517,119.54,5.977,5.8,Male
62.65,4,12.53,263.13,250.6,12.53,4.2,Male
47.59,8,19.036,399.756,380.72,19.036,5.7,Male
17.94,5,4.485,94.185,89.7,4.485,6.8,Male
77.72,4,15.544,326.424,310.88,15.544,8.8,Male
23.75,4,4.75,99.75,95,4.75,5.2,Male
58.9,8,23.56,494.76,471.2,23.56,8.9,Male
66.35,1,3.3175,69.6675,66.35,3.3175,9.7,Male
25.91,6,7.773,163.233,155.46,7.773,8.7,Male
32.25,4,6.45,135.45,129,6.45,6.5,Male
75.06,9,33.777,709.317,675.54,33.777,6.2,Female
22.24,10,11.12,233.52,222.4,11.12,4.2,Female
98.4,7,34.44,723.24,688.8,34.44,8.7,Female
70.74,4,14.148,297.108,282.96,14.148,4.4,Male
35.54,10,17.77,373.17,355.4,17.77,7,Female
21.54,9,9.693,203.553,193.86,9.693,8.8,Female
12.03,2,1.203,25.263,24.06,1.203,5.1,Female
44.02,10,22.01,462.21,440.2,22.01,9.6,Male
69.96,8,27.984,587.664,559.68,27.984,6.4,Female
15.34,1,0.767,16.107,15.34,0.767,6.5,Female
99.83,6,29.949,628.929,598.98,29.949,8.5,Male
47.67,4,9.534,200.214,190.68,9.534,9.1,Female
94.88,7,33.208,697.368,664.16,33.208,4.2,Female
62.48,1,3.124,65.604,62.48,3.124,4.7,Female
36.36,2,3.636,76.356,72.72,3.636,7.1,Female
78.38,6,23.514,493.794,470.28,23.514,5.8,Male
60.01,4,12.002,252.042,240.04,12.002,4.5,Male
51.19,4,10.238,214.998,204.76,10.238,4.7,Female
72.2,7,25.27,530.67,505.4,25.27,4.3,Male
40.23,7,14.0805,295.69,281.61,14.0805,9.6,Female
88.79,8,35.516,745.836,710.32,35.516,4.1,Female
26.48,3,3.972,83.412,79.44,3.972,4.7,Female
81.91,2,8.191,172.011,163.82,8.191,7.8,Female
14.23,5,3.5575,74.7075,71.15,3.5575,4.4,Female
15.55,9,6.9975,146.947,139.95,6.9975,5,Female
15.26,6,4.578,96.138,91.56,4.578,9.8,Male
61.77,5,15.4425,324.293,308.85,15.4425,6.7,Female
21.52,6,6.456,135.576,129.12,6.456,9.4,Male
99.78,5,24.945,523.845,498.9,24.945,5.4,Male
36.36,4,7.272,152.712,145.44,7.272,7.6,Male
32.9,3,4.935,103.635,98.7,4.935,9.1,Male
77.02,5,19.255,404.355,385.1,19.255,5.5,Male
23.48,2,2.348,49.308,46.96,2.348,7.9,Male
28.45,5,7.1125,149.363,142.25,7.1125,9.1,Female
76.4,9,34.38,721.98,687.6,34.38,7.5,Male
44.65,3,6.6975,140.648,133.95,6.6975,6.2,Male
77.93,9,35.0685,736.438,701.37,35.0685,7.6,Female
71.95,1,3.5975,75.5475,71.95,3.5975,7.3,Male
26.02,7,9.107,191.247,182.14,9.107,5.1,Male
51.69,7,18.0915,379.922,361.83,18.0915,5.5,Male
80.96,8,32.384,680.064,647.68,32.384,7.4,Male
73.22,6,21.966,461.286,439.32,21.966,7.2,Male
65.94,4,13.188,276.948,263.76,13.188,6,Male
21.5,9,9.675,203.175,193.5,9.675,7.8,Male
67.09,5,16.7725,352.223,335.45,16.7725,9.1,Female
96.7,5,24.175,507.675,483.5,24.175,7,Female
82.33,4,16.466,345.786,329.32,16.466,7.5,Male
40.94,5,10.235,214.935,204.7,10.235,9.9,Female
32.32,10,16.16,339.36,323.2,16.16,10,Female
76.82,1,3.841,80.661,76.82,3.841,7.2,Male
52.26,10,26.13,548.73,522.6,26.13,6.2,Female
79.74,1,3.987,83.727,79.74,3.987,7.3,Female
77.5,5,19.375,406.875,387.5,19.375,4.3,Female
54.27,5,13.5675,284.918,271.35,13.5675,4.6,Female
67.26,4,13.452,282.492,269.04,13.452,8,Male
13.79,5,3.4475,72.3975,68.95,3.4475,7.8,Male
56.53,4,11.306,237.426,226.12,11.306,5.5,Female
20.97,5,5.2425,110.092,104.85,5.2425,7.8,Male
25.84,3,3.876,81.396,77.52,3.876,6.6,Male
50.93,8,20.372,427.812,407.44,20.372,9.2,Male
25.22,7,8.827,185.367,176.54,8.827,8.2,Female
53.17,7,18.6095,390.799,372.19,18.6095,8.9,Male
90.65,10,45.325,951.825,906.5,45.325,7.3,Female
23.46,6,7.038,147.798,140.76,7.038,6.4,Female
33.99,6,10.197,214.137,203.94,10.197,7.7,Male
89.21,9,40.1445,843.034,802.89,40.1445,6.5,Female
19.1,7,6.685,140.385,133.7,6.685,9.7,Female
63.61,5,15.9025,333.953,318.05,15.9025,4.8,Female
25,1,1.25,26.25,25,1.25,5.5,Male
20.77,4,4.154,87.234,83.08,4.154,4.7,Male
51.34,5,12.835,269.535,256.7,12.835,9.1,Male
40.05,4,8.01,168.21,160.2,8.01,9.7,Female
43.13,10,21.565,452.865,431.3,21.565,5.5,Male
64.44,5,16.11,338.31,322.2,16.11,6.6,Female
65.18,3,9.777,205.317,195.54,9.777,6.3,Male
33.26,5,8.315,174.615,166.3,8.315,4.2,Female
38.6,1,1.93,40.53,38.6,1.93,6.7,Male
37.14,5,9.285,194.985,185.7,9.285,5,Male
37.15,4,7.43,156.03,148.6,7.43,8.3,Male
19.66,10,9.83,206.43,196.6,9.83,7.2,Female
51.52,8,20.608,432.768,412.16,20.608,9.6,Female
24.18,8,9.672,203.112,193.44,9.672,9.8,Male
42.91,5,10.7275,225.277,214.55,10.7275,6.1,Female
54.28,7,18.998,398.958,379.96,18.998,9.3,Female
99.55,7,34.8425,731.693,696.85,34.8425,7.6,Male
34.73,2,3.473,72.933,69.46,3.473,9.7,Male
37.44,6,11.232,235.872,224.64,11.232,5.9,Female
81.71,6,24.513,514.773,490.26,24.513,8,Male
91.41,5,22.8525,479.902,457.05,22.8525,7.1,Female
98.09,9,44.1405,926.951,882.81,44.1405,9.3,Male
25.43,6,7.629,160.209,152.58,7.629,7,Male
86.68,8,34.672,728.112,693.44,34.672,7.2,Male
28.32,5,7.08,148.68,141.6,7.08,6.2,Female
97.94,1,4.897,102.837,97.94,4.897,6.9,Male
73.05,4,14.61,306.81,292.2,14.61,4.9,Female
30.68,3,4.602,96.642,92.04,4.602,9.1,Male
29.42,10,14.71,308.91,294.2,14.71,8.9,Female
60.95,9,27.4275,575.977,548.55,27.4275,6,Male
66.06,6,19.818,416.178,396.36,19.818,7.3,Female
19.32,7,6.762,142.002,135.24,6.762,6.9,Male
41.66,6,12.498,262.458,249.96,12.498,5.6,Male
72.42,3,10.863,228.123,217.26,10.863,8.2,Female
74.51,6,22.353,469.413,447.06,22.353,5,Male
81.21,10,40.605,852.705,812.1,40.605,6.3,Female
65.74,9,29.583,621.243,591.66,29.583,7.7,Female
10.13,7,3.5455,74.4555,70.91,3.5455,8.3,Male
85.91,5,21.4775,451.027,429.55,21.4775,8.6,Male
64.27,4,12.854,269.934,257.08,12.854,7.7,Female
77.68,4,15.536,326.256,310.72,15.536,8.4,Female
51.71,4,10.342,217.182,206.84,10.342,9.8,Male
52.34,3,7.851,164.871,157.02,7.851,9.2,Female
43.06,5,10.765,226.065,215.3,10.765,7.7,Female
14.62,5,3.655,76.755,73.1,3.655,4.4,Male
45.58,1,2.279,47.859,45.58,2.279,9.8,Female
75.2,3,11.28,236.88,225.6,11.28,4.8,Female
52.2,3,7.83,164.43,156.6,7.83,9.5,Male
70.32,2,7.032,147.672,140.64,7.032,9.6,Female
53.65,7,18.7775,394.328,375.55,18.7775,5.2,Female
30.61,1,1.5305,32.1405,30.61,1.5305,5.2,Male
28.96,1,1.448,30.408,28.96,1.448,6.2,Female
67.45,10,33.725,708.225,674.5,33.725,4.2,Male
38.72,9,17.424,365.904,348.48,17.424,4.2,Female
98.53,6,29.559,620.739,591.18,29.559,4,Male
71.68,3,10.752,225.792,215.04,10.752,9.2,Female
91.61,1,4.5805,96.1905,91.61,4.5805,9.8,Female
60.87,2,6.087,127.827,121.74,6.087,8.7,Male
53.3,3,7.995,167.895,159.9,7.995,7.5,Male
12.09,1,0.6045,12.6945,12.09,0.6045,8.2,Female
64.19,10,32.095,673.995,641.9,32.095,6.7,Male
78.31,3,11.7465,246.676,234.93,11.7465,5.4,Male
83.77,2,8.377,175.917,167.54,8.377,7,Male
28.95,7,10.1325,212.783,202.65,10.1325,6,Male
19.36,9,8.712,182.952,174.24,8.712,8.7,Male
72.78,10,36.39,764.19,727.8,36.39,7.3,Male
15.69,3,2.3535,49.4235,47.07,2.3535,5.8,Female
88.15,3,13.2225,277.672,264.45,13.2225,7.9,Female
27.93,5,6.9825,146.633,139.65,6.9825,5.9,Female
55.45,1,2.7725,58.2225,55.45,2.7725,4.9,Male
48.63,4,9.726,204.246,194.52,9.726,7.6,Female
56.04,10,28.02,588.42,560.4,28.02,4.4,Male
45.48,10,22.74,477.54,454.8,22.74,4.8,Female
73.47,4,14.694,308.574,293.88,14.694,6,Female
48.5,6,14.55,305.55,291,14.55,9.4,Male
21.48,2,2.148,45.108,42.96,2.148,6.6,Male
63.56,10,31.78,667.38,635.6,31.78,4.3,Male
67.1,3,10.065,211.365,201.3,10.065,7.5,Female
48.63,10,24.315,510.615,486.3,24.315,8.8,Male
87.37,5,21.8425,458.693,436.85,21.8425,6.6,Female
27.04,4,5.408,113.568,108.16,5.408,6.9,Female
69.58,9,31.311,657.531,626.22,31.311,7.8,Male
25.7,3,3.855,80.955,77.1,3.855,6.1,Male
80.62,6,24.186,507.906,483.72,24.186,9.1,Male
35.68,5,8.92,187.32,178.4,8.92,6.6,Female
71.46,7,25.011,525.231,500.22,25.011,4.5,Female
11.94,3,1.791,37.611,35.82,1.791,8.1,Male
45.38,3,6.807,142.947,136.14,6.807,7.2,Male
22.32,4,4.464,93.744,89.28,4.464,4.4,Female
56,3,8.4,176.4,168,8.4,4.8,Male
19.7,1,0.985,20.685,19.7,0.985,9.5,Male
93.96,9,42.282,887.922,845.64,42.282,9.8,Male
71.63,2,7.163,150.423,143.26,7.163,8.8,Female
37.69,2,3.769,79.149,75.38,3.769,9.5,Male
27.28,5,6.82,143.22,136.4,6.82,8.6,Female
17.42,10,8.71,182.91,174.2,8.71,7,Female
97.29,8,38.916,817.236,778.32,38.916,6.2,Female
96.52,6,28.956,608.076,579.12,28.956,4.5,Female
18.85,10,9.425,197.925,188.5,9.425,5.6,Male
55.39,4,11.078,232.638,221.56,11.078,8,Female
63.88,8,25.552,536.592,511.04,25.552,9.9,Female
10.69,5,2.6725,56.1225,53.45,2.6725,7.6,Female
55.5,4,11.1,233.1,222,11.1,6.6,Male
11.43,6,3.429,72.009,68.58,3.429,7.7,Female
94.76,4,18.952,397.992,379.04,18.952,7.8,Female
30.62,1,1.531,32.151,30.62,1.531,4.1,Female
74.58,7,26.103,548.163,522.06,26.103,9,Male
58.91,7,20.6185,432.988,412.37,20.6185,9.7,Male
46.41,1,2.3205,48.7305,46.41,2.3205,4,Male
92.6,7,32.41,680.61,648.2,32.41,9.3,Male
46.61,2,4.661,97.881,93.22,4.661,6.6,Female
24.49,10,12.245,257.145,244.9,12.245,8.1,Female
48.96,9,22.032,462.672,440.64,22.032,8,Female
77.47,4,15.494,325.374,309.88,15.494,4.2,Female
93.18,2,9.318,195.678,186.36,9.318,8.5,Female
50.23,4,10.046,210.966,200.92,10.046,9,Female
40.26,10,20.13,422.73,402.6,20.13,5,Female
95.15,1,4.7575,99.9075,95.15,4.7575,6,Male
48.62,8,19.448,408.408,388.96,19.448,5,Female
33.88,8,13.552,284.592,271.04,13.552,9.6,Male
47.68,2,4.768,100.128,95.36,4.768,4.1,Female
68.71,3,10.3065,216.436,206.13,10.3065,8.7,Female
22.01,4,4.402,92.442,88.04,4.402,6.6,Female
41.28,3,6.192,130.032,123.84,6.192,8.5,Male
74.22,10,37.11,779.31,742.2,37.11,4.3,Female
10.56,8,4.224,88.704,84.48,4.224,7.6,Male
91.3,1,4.565,95.865,91.3,4.565,9.2,Male
52.38,1,2.619,54.999,52.38,2.619,5.8,Male
38.54,5,9.635,202.335,192.7,9.635,5.6,Male
51.94,3,7.791,163.611,155.82,7.791,7.9,Male
39.47,2,3.947,82.887,78.94,3.947,5,Female
21.32,1,1.066,22.386,21.32,1.066,5.9,Male
93.78,3,14.067,295.407,281.34,14.067,5.9,Male
73.26,1,3.663,76.923,73.26,3.663,9.7,Male
99.1,6,29.73,624.33,594.6,29.73,4.2,Female
74.1,1,3.705,77.805,74.1,3.705,9.2,Male
98.48,2,9.848,206.808,196.96,9.848,9.2,Female
95.95,5,23.9875,503.737,479.75,23.9875,8.8,Female
28.31,4,5.662,118.902,113.24,5.662,8.2,Female
47.63,9,21.4335,450.103,428.67,21.4335,5,Female
12.76,2,1.276,26.796,25.52,1.276,7.8,Male
79.59,3,11.9385,250.708,238.77,11.9385,6.6,Female
64.59,4,12.918,271.278,258.36,12.918,9.3,Male
24.82,7,8.687,182.427,173.74,8.687,7.1,Male
89.06,6,26.718,561.078,534.36,26.718,9.9,Male
23.29,4,4.658,97.818,93.16,4.658,5.9,Male
90.02,8,36.008,756.168,720.16,36.008,4.5,Female
34.42,6,10.326,216.846,206.52,10.326,7.5,Female
83.34,2,8.334,175.014,166.68,8.334,7.6,Female
45.58,7,15.953,335.013,319.06,15.953,5,Male
87.9,1,4.395,92.295,87.9,4.395,6.7,Male
73.47,10,36.735,771.435,734.7,36.735,9.5,Female
76.92,10,38.46,807.66,769.2,38.46,5.6,Male
35.04,9,15.768,331.128,315.36,15.768,4.6,Male
27.73,5,6.9325,145.583,138.65,6.9325,4.2,Female
11.53,7,4.0355,84.7455,80.71,4.0355,8.1,Male
79.54,2,7.954,167.034,159.08,7.954,6.2,Female
93.12,8,37.248,782.208,744.96,37.248,6.8,Female
51.34,8,20.536,431.256,410.72,20.536,7.6,Male
99.6,3,14.94,313.74,298.8,14.94,5.8,Female
94.67,4,18.934,397.614,378.68,18.934,6.8,Female
39.62,9,17.829,374.409,356.58,17.829,6.8,Female
74.44,10,37.22,781.62,744.4,37.22,5.1,Female
89.48,5,22.37,469.77,447.4,22.37,7.4,Female
92.09,3,13.8135,290.083,276.27,13.8135,4.2,Female
66.52,4,13.304,279.384,266.08,13.304,6.9,Male
45.68,10,22.84,479.64,456.8,22.84,5.7,Female
50.79,5,12.6975,266.647,253.95,12.6975,5.3,Male
10.08,7,3.528,74.088,70.56,3.528,4.2,Male
93.88,7,32.858,690.018,657.16,32.858,7.3,Female
42.57,7,14.8995,312.889,297.99,14.8995,6.8,Female
98.66,9,44.397,932.337,887.94,44.397,8.4,Female
20.89,2,2.089,43.869,41.78,2.089,9.8,Male
15.5,1,0.775,16.275,15.5,0.775,7.4,Female
33.3,9,14.985,314.685,299.7,14.985,7.2,Female
81.01,3,12.1515,255.182,243.03,12.1515,9.3,Male
15.8,3,2.37,49.77,47.4,2.37,9.5,Female
80.08,3,12.012,252.252,240.24,12.012,5.4,Male
74.66,4,14.932,313.572,298.64,14.932,8.5,Female
58.15,4,11.63,244.23,232.6,11.63,8.4,Male
97.48,9,43.866,921.186,877.32,43.866,7.4,Female
56.56,5,14.14,296.94,282.8,14.14,4.5,Female
58.03,2,5.803,121.863,116.06,5.803,8.8,Male
31.84,1,1.592,33.432,31.84,1.592,7.7,Male
65.82,1,3.291,69.111,65.82,3.291,4.1,Male
88.34,7,30.919,649.299,618.38,30.919,6.6,Female
